Year;Inflation_rate;GDP
1980;18.1;4854
1981;36.8;2636
1982;90.3;2619
1983;32.5;3162
1984;12;3678
1985;15.1;3941
1986;11.8;4425
1987;16.8;4554
1988;20.8;4636
1989;16.5;5250
1990;19.1;5737
1991;20.2;7197
1992;21.8;8566
1993;9.8;9586
1994;13.5;10489
1995;23.2;11578
1996;17.5;11683
1997;13.2;12618
1998;11.7;13688
1999;10;14259
2000;11;15016
2001;11.3;15979
2002;9.2;16584
2003;9.4;17277
2004;12.3;18615
2005;13.8;20049
2006;11.5;22717
2007;9.4;26885
2008;13.4;30802
2009;7.8;30746
2010;5.7;37656
2011;4.9;42762
2012;4.5;47231
2013;5.2;50949
2014;4.5;52017
2015;0.8;56442
2016;0;58847
2017;1.6;60517
2018;2.2;62422
2019;2.1;64412
2020;0.7;62144
2021;1.7;64276
2022;5.4;65314
